Name|Age|Hometown|Boarded|Destination|Lifeboat|Body|Pclass|Survived|CrewDept|Position|Gender
and secretary, Miss Laura Mabel Francatelli|31|London, England, UK|Cherbourg|New York, New York, US|1||1|TRUE|||F
Dulles, Mr. William Crothers|39|Philadelphia, Pennsylvania, US|Cherbourg|Philadelphia, Pennsylvania, US||133MB|1|FALSE|||M
Eustis, Miss Elizabeth Mussey|54|Brookline, Massachusetts, US|Cherbourg|Brookline, Massachusetts, US|4||1|TRUE|||F
Evans, Miss Edith Corse|36|New York, New York, US|Cherbourg|New York, New York, US|||1|FALSE|||F
Flegenheim, Mrs. Antoinette (née Wendt)|48|New York, New York, US|Cherbourg|New York, New York, US|7||1|TRUE|||F
Flynn, Mr. John Irwin|36|Brooklyn, New York, US|Southampton|Brooklyn, New York, US|5||1|TRUE|||M
Foreman, Mr. Benjamin Laventall|30|New York, New York, US|Southampton|New York, New York, US|||1|FALSE|||M
Fortune, Mr. Mark|64|Winnipeg, Manitoba, Canada|Southampton|Winnipeg, Manitoba, Canada|||1|FALSE|||M
Fortune, Mrs. Mary (née McDougald)|60|Winnipeg, Manitoba, Canada|Southampton|Winnipeg, Manitoba, Canada|10||1|TRUE|||F
Fortune, Miss Ethel Flora|28|Winnipeg, Manitoba, Canada|Southampton|Winnipeg, Manitoba, Canada|10||1|TRUE|||F
Fortune, Miss Alice Elizabeth|24|Winnipeg, Manitoba, Canada|Southampton|Winnipeg, Manitoba, Canada|10||1|TRUE|||F
Fortune, Miss Mabel Helen|23|Winnipeg, Manitoba, Canada|Southampton|Winnipeg, Manitoba, Canada|10||1|TRUE|||F
Fortune, Mr. Charles Alexander|19|Winnipeg, Manitoba, Canada|Southampton|Winnipeg, Manitoba, Canada|||1|FALSE|||M
Franklin, Mr. Thomas Parnham|37|London, England, UK|Southampton|New York, New York, US|||1|FALSE|||M
Frauenthal, Dr. Henry William|49|London, England, UK|Southampton|New York, New York, US|5||1|TRUE|||M
Frauenthal, Mrs. Clara (née Heinsheimer)|42|London, England, UK|Southampton|New York, New York, US|5||1|TRUE|||F
Frauenthal, Mr. Isaac Gerald|43|London, England, UK|Southampton|New York, New York, US|5||1|TRUE|||M
Frölicher, Mr. Maximilian Josef|60|Zürich, Switzerland|Cherbourg|New York, New York, US|5||1|TRUE|||M
Frölicher, Mrs. Margaretha Emerentia (née Stehli)|48|Zürich, Switzerland|Cherbourg|New York, New York, US|5||1|TRUE|||F
Frölicher-Stehli, Miss Hedwig Margaritha|22|Zürich, Switzerland|Cherbourg|New York, New York, US|5||1|TRUE|||F
Futrelle, Mr. Jacques Heath|37|Scituate, Massachusetts, US|Southampton|Scituate, Massachusetts, US|||1|FALSE|||M
Futrelle, Mrs. Lily May (née Peel)|35|Scituate, Massachusetts, US|Southampton|Scituate, Massachusetts, US|D||1|TRUE|||F
Gee, Mr. Arthur H.|47|St Annes-on-Sea, Lancashire, England, UK|Southampton|Mexico City, Mexico||275MB|1|FALSE|||M
Gibson, Mrs. Pauline Caroline (née Boeson)|44|New York, New York, US|Cherbourg|New York, New York, US|7||1|TRUE|||F
Gibson, Miss Dorothy Winifred|22|New York, New York, US|Cherbourg|New York, New York, US|7||1|TRUE|||F
Goldenberg, Mr. Samuel L.|47|Paris, France|Cherbourg|New York, New York, US|5||1|TRUE|||M
Goldenberg, Mrs. Nella (née Wiggins)|40|Paris, France|Cherbourg|New York, New York, US|5||1|TRUE|||F
Goldschmidt, Mr. George B.|71|New York, New York, US|Cherbourg|New York, New York, US|||1|FALSE|||M
Gracie IV, Colonel Archibald|53|Washington, D.C., US|Southampton|Washington, D.C., US|B||1|TRUE|||M
Graham, Mr. George Edward|38|Winnipeg, Manitoba, Canada|Southampton|Winnipeg, Manitoba, Canada||147MB|1|FALSE|||M
Graham, Mrs. Edith Ware (née Junkins)|59|Greenwich, Connecticut, US|Southampton|Greenwich, Connecticut, US|3||1|TRUE|||F
Graham, Miss Margaret Edith|19|Greenwich, Connecticut, US|Southampton|Greenwich, Connecticut, US|3||1|TRUE|||F
and governess, Miss Elizabeth Weed Shutes|40|Greenwich, Connecticut, US|Southampton|Greenwich, Connecticut, US|3||1|TRUE|||F
Greenfield, Mrs. Blanche (née Strouse)|45|New York, New York, US|Cherbourg|New York, New York, US|7||1|TRUE|||F
Greenfield, Mr. William Bertram|23|New York, New York, US|Cherbourg|New York, New York, US|7||1|TRUE|||M
Guggenheim, Mr. Benjamin|46|Paris, France|Cherbourg|New York, New York, US|||1|FALSE|||M
and valet, Mr. Victor Giglio|24|Paris, France|Cherbourg|New York, New York, US|||1|FALSE|||M
and chauffeur, Mr. René Pernot[59]|39|Paris, France|Cherbourg|New York, New York, US|||1|FALSE|||M
Harder, Mr. George Achilles|25|New York, New York, US|Cherbourg|New York, New York, US|5||1|TRUE|||M
Harder, Mrs. Dorothy (née Annan)|21|New York, New York, US|Cherbourg|New York, New York, US|5||1|TRUE|||F
Harper, Mr. Henry Sleeper|48|New York, New York, US|Cherbourg|New York, New York, US|3||1|TRUE|||M
and dragoman, Mr. Hammad Hassab|27|Cairo, Egypt|Cherbourg|New York, New York, US|3||1|TRUE|||M
Harper, Mrs. Myna (née Haxtun)|49|New York, New York, US|Cherbourg|New York, New York, US|3||1|TRUE|||F
Harris, Mr. Henry Birkhardt|45|New York, New York, US|Southampton|New York, New York, US|||1|FALSE|||M
Harris, Mrs. Irene (née Wallach)|35|New York, New York, US|Southampton|New York, New York, US|D||1|TRUE|||F
Hawksford, Mr. Walter James|45|Kingston, Surrey, England, UK|Southampton|New York, New York, US|3||1|TRUE|||M
Hays, Mr. Charles Melville|55|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada||307M|1|FALSE|||M
and clerk, Mr. Vivian Ponsonby Payne|22|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|||1|FALSE|||M
Hays, Mrs. Clara Jennings (née Grigg)|52|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|3||1|TRUE|||F
and maid, Miss Mary Anne Perreault|33|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|3||1|TRUE|||F
Hays, Miss Margaret Bechstein|24|New York, New York, US|Cherbourg|New York, New York, US|7||1|TRUE|||F
Head, Mr. Christopher|42|Chelsea, London, England, UK|Southampton|New York, New York, US|||1|FALSE|||M
Hilliard, Mr. Herbert Henry|44|Brighton, Massachusetts, US|Southampton|Brighton, Massachusetts, US|||1|FALSE|||M
Hipkins, Mr. William Edward|55|Birmingham, West Midlands, England, UK|Southampton|New York, New York, US|||1|FALSE|||M
Hippach, Mrs. Ida Sophia (née Fischer)|44|Chicago, Illinois, US|Cherbourg|Chicago, Illinois, US|4||1|TRUE|||F
Hippach, Miss Jean Gertrude|17|Chicago, Illinois, US|Cherbourg|Chicago, Illinois, US|4||1|TRUE|||F
Hogeboom, Mrs. Anna Louisa (née Andrews)|51|Hudson, New York, US|Cherbourg|Hudson, New York, US|10||1|TRUE|||F
Holverson, Mr. Alexander Oskar|42|New York, New York, US|Southampton|New York, New York, US||38MB|1|FALSE|||M
Holverson, Mrs. Mary Aline (née Towner)|35|New York, New York, US|Southampton|New York, New York, US|8||1|TRUE|||F
Homer, Mr. Harry (alias E. Haven)|40|Indianapolis, Indiana, US|Southampton|Indianapolis, Indiana, US|15||1|TRUE|||M
Hoyt, Mr. Frederick Maxfield|35|New York, New York, US|Southampton|Stamford, Connecticut, US|D||1|TRUE|||M
Hoyt, Mrs. Jane Anne (née Forby)|31|New York, New York, US|Southampton|Stamford, Connecticut, US|D||1|TRUE|||F
Hoyt, Mr. William Fisher|42|New York, New York, US|Cherbourg|New York, New York, US|14|[66][67]|1|FALSE|||M
Isham, Miss Ann Elizabeth|50|Chicago, Illinois, US|Cherbourg|Chicago, Illinois, US|||1|FALSE|||F
Ismay, Mr. Joseph Bruce|49|Liverpool, Merseyside, England, UK|Southampton|New York, New York, US|C||1|TRUE|||M
and valet, Mr. John Richard Fry|39|Liverpool, Merseyside, England, UK|Southampton|New York, New York, US|||1|FALSE|||M
and secretary, Mr. William Henry Harrison|45|Wallasey, Merseyside, England, UK|Southampton|New York, New York, US||110MB|1|FALSE|||M
Jones, Mr. Charles Cresson|46|Bennington, Vermont, US|Southampton|Bennington, Vermont, US||80MB|1|FALSE|||M
Julian, Mr. Henry Forbes|50|Torquay, Devon, England, UK|Southampton|San Francisco, US|||1|FALSE|||M
Kent, Mr. Edward Austin|58|Buffalo, New York, US|Cherbourg|Buffalo, New York, US||258MB|1|FALSE|||M
Kenyon, Mr. Frederick R.|41|Pittsburgh, Pennsylvania, US|Southampton|Pittsburgh, Pennsylvania, US|||1|FALSE|||M
Kenyon, Mrs. Marion (née Stauffer)[62][68]|31|Pittsburgh, Pennsylvania, US|Southampton|Pittsburgh, Pennsylvania, US|8||1|TRUE|||F
Kimball, Mr. Edwin Nelson Jr.|42|Boston, Massachusetts, US|Southampton|Boston, Massachusetts, US|5||1|TRUE|||M
Kimball, Mrs. Gertrude (née Parsons)|45|Boston, Massachusetts, US|Southampton|Boston, Massachusetts, US|5||1|TRUE|||F
Klaber, Mr. Herman|45|Portland, Oregon, US|Southampton|Portland, Oregon, US|||1|FALSE|||M
Lambert-Williams, Mr. Fletcher Fellows|43|London, England, UK|Southampton|Newark, New Jersey, US|||1|FALSE|||M
Leader, Dr. Alice (née Farnham)|49|New York, New York, US|Southampton|New York, New York, US|8||1|TRUE|||F
Leslie, Lucy Noël Martha, Countess of Rothes (née Dyer-Edwardes)|34|Vancouver, British Columbia, Canada|Southampton|Vancouver, British Columbia, Canada|8||1|TRUE|||F
"and maid, Miss Roberta Elizabeth Mary ""Cissy"" Maioni[69]"|20|Vancouver, British Columbia, Canada|Southampton|Vancouver, British Columbia, Canada|8||1|TRUE|||F
Lewy, Mr. Ervin G.|31|Chicago, Illinois, US|Cherbourg|Chicago, Illinois, US|||1|FALSE|||M
Lindeberg-Lind, Mr. Erik Gustav (alias Edward Lingrey)|42|Jordanstorp, Södermanland, Sweden|Southampton|New York, New York, US|||1|FALSE|||M
Lindström, Mrs. Sigrid (née Posse)|55|Stockholm, Sweden|Cherbourg|New York, New York, US|6||1|TRUE|||F
Lines, Mrs. Elizabeth Lindsey (née James)|50|Paris, France|Cherbourg|Hanover, New Hampshire, US|9||1|TRUE|||F
Lines, Miss Mary Conover|16|Paris, France|Cherbourg|Hanover, New Hampshire, US|9||1|TRUE|||F
Long, Mr. Milton Clyde|29|Springfield, Massachusetts, US|Southampton|Springfield, Massachusetts, US||126MB|1|FALSE|||M
Longley, Miss Gretchen Fiske|21|Hudson, New York, US|Cherbourg|Hudson, New York, US|10||1|TRUE|||F
Loring, Mr. Joseph Holland|30|London, England, UK|Southampton|New York, New York, US|||1|FALSE|||M
Madill, Miss Georgette Alexandra|16|St Louis, Missouri, US|Southampton|St Louis, Missouri, US|2||1|TRUE|||F
Maguire, Mr. John Edward|30|Brockton, Massachusetts, US|Southampton|Brockton, Massachusetts, US|||1|FALSE|||M
Maréchal, Mr. Pierre, Sr.|28|Paris, France|Cherbourg|New York, New York, US|7||1|TRUE|||M
Marvin, Mr. Daniel Warner|18|New York, New York, US|Southampton|New York, New York, US|||1|FALSE|||M
Marvin, Mrs. Mary Graham Carmichael (née Farquarson)[62][70]|18|New York, New York, US|Southampton|New York, New York, US|10||1|TRUE|||F
Mayné, Miss Bertha Antonine|24|Brussels, Belgium|Cherbourg|Montreal, Quebec, Canada|6||1|TRUE|||F
McCaffry, Mr. Thomas Francis|46|Vancouver, British Columbia, Canada|Southampton|Vancouver, British Columbia, Canada||292MB|1|FALSE|||M
McCarthy, Mr. Timothy J.|54|Dorchester, Massachusetts, US|Southampton|Dorchester, Massachusetts, US||175MB|1|FALSE|||M
McGough, Mr. James Robert|35|Philadelphia, Pennsylvania, US|Southampton|Philadelphia, Pennsylvania, US|7||1|TRUE|||M
Meyer, Mr. Edgar Joseph|28|New York, New York, US|Cherbourg|New York, New York, US|||1|FALSE|||M
Meyer, Mrs. Leila (née Saks)|25|New York, New York, US|Cherbourg|New York, New York, US|6||1|TRUE|||F
Millet, Mr. Francis Davis|65|East Bridgewater, Massachusetts, US|Cherbourg|East Bridgewater, Massachusetts, US||249MB|1|FALSE|||M
Minahan, Dr. William Edward|44|Fond du Lac, Wisconsin, US|Southampton|Fond du Lac, Wisconsin, US||230MB|1|FALSE|||M
Minahan, Mrs. Lillian E. (née Thorpe)|37|Fond du Lac, Wisconsin, US|Southampton|Fond du Lac, Wisconsin, US|14||1|TRUE|||F
Minahan, Miss Daisy E.|33|Fond du Lac, Wisconsin, US|Southampton|Fond du Lac, Wisconsin, US|14||1|TRUE|||F
Mock, Mr. Philipp Edmund|30|New York, New York, US|Cherbourg|New York, New York, US|11||1|TRUE|||M
Molson, Mr. Harry Markland|55|Montreal, Quebec, Canada|Southampton|Montreal, Quebec, Canada|||1|FALSE|||M
Moore, Mr. Clarence|47|Washington, D.C., US|Southampton|Washington, D.C., US|||1|FALSE|||M
and valet, Mr. Charles Henry Harrington|37|Washington, D.C., US|Southampton|Washington, D.C., US|||1|FALSE|||M
Natsch, Mr. Charles|36|Brooklyn, New York, US|Cherbourg|Brooklyn, New York, US|||1|FALSE|||M
Newell, Mr. Arthur Webster|58|Lexington, Massachusetts, US|Cherbourg|Lexington, Massachusetts, US||122MB|1|FALSE|||M
Newell, Miss Madeleine|31|Lexington, Massachusetts, US|Cherbourg|Lexington, Massachusetts, US|6||1|TRUE|||F
Newell, Miss Marjorie Anne|23|Lexington, Massachusetts, US|Cherbourg|Lexington, Massachusetts, US|6||1|TRUE|||F
Newsom, Miss Helen Monypeny|19|New York, New York, US|Southampton|New York, New York, US|5||1|TRUE|||F
Nicholson, Mr. Arthur Ernest|64|Shanklin, Isle of Wight, England, UK|Southampton|New York, New York, US||263MB|1|FALSE|||M
Nourney, Mr. Alfred[71][72]|20|Cologne, German Empire[note 2]|Cherbourg|New York, New York, US|7||1|TRUE|||M
Omont, Mr. Alfred Fernand|29|Le Havre, France|Cherbourg|New York, New York, US|7||1|TRUE|||M
Ostby, Mr. Engelhart Cornelius|64|Providence, Rhode Island, US|Southampton|Providence, Rhode Island, US||234MB|1|FALSE|||M
Ostby, Miss Helene Ragnhild|22|Providence, Rhode Island, US|Southampton|Providence, Rhode Island, US|5||1|TRUE|||F
